molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL4864163,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC1=O,100000.0,inactive
CHEMBL4867088,CC[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H](C(C)(C)C)NC1=O,100000.0,inactive
CHEMBL4872397,CC[C@@H]1NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H](C(C)(C)C)NC1=O,100000.0,inactive
CHEMBL4851348,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC1=O,100000.0,inactive
CHEMBL4851196,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC1=O,100000.0,inactive
CHEMBL4876522,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O,100000.0,inactive
CHEMBL4858748,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O,100000.0,inactive
CHEMBL4848940,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC1=O,100000.0,inactive
CHEMBL4847752,NCCCC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC1=O,100000.0,inactive
CHEMBL4873945,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC1=O,100000.0,inactive
